s__Campylobacter_hominis,s__Corynebacterium_sp_HFH0082,s__Dorea_unclassified,s__Facklamia_unclassified,s__Faecalibacterium_prausnitzii,s__Parvimonas_unclassified,s__Riemerella_unclassified,s__Rothia_mucilaginosa,s__Slackia_exigua,s__Staphylococcus_pettenkoferi,s__Streptococcus_infantis,s__Ureaplasma_parvum,s__Akkermansia_muciniphila,s__Bacteroides_vulgatus,s__Klebsiella_unclassified,s__Lachnospiraceae_bacterium_8_1_57FAA,s__Peptoniphilus_sp_BV3AC2,s__Peptostreptococcus_anaerobius,s__Atopobium_parvulum,s__Clostridiales_bacterium_BV3C26,s__Lactobacillus_rhamnosus,s__Streptococcus_constellatus,s__Streptococcus_intermedius,s__Bacteroides_uniformis,s__Eubacterium_rectale,s__Mobiluncus_unclassified,s__Pantoea_unclassified,s__Ruminococcus_obeum,s__Streptococcus_mitis_oralis_pneumoniae,s__Streptococcus_parasanguinis,s__Streptococcus_thermophilus,s__Atopobium_vaginae,s__Collinsella_aerofaciens,s__Corynebacterium_urealyticum,s__Lactobacillus_jensenii,s__Lactobacillus_vaginalis,s__Peptoniphilus_sp_oral_taxon_375,s__Ruminococcus_torques,s__Staphylococcus_warneri,s__Coriobacteriaceae_bacterium_BV3Ac1,s__Eggerthella_unclassified,s__Prevotella_disiens,s__Staphylococcus_simulans,s__Dialister_invisus,s__Slackia_unclassified,s__Veillonella_atypica,s__Gardnerella_vaginalis,s__Peptoniphilus_rhinitidis,s__Streptococcus_salivarius,s__Veillonella_parvula,s__Bifidobacterium_breve,s__Lactobacillus_iners,s__Bifidobacterium_dentium,s__Klebsiella_pneumoniae,s__Lactobacillus_crispatus,s__Staphylococcus_lugdunensis,s__Streptococcus_agalactiae,s__Veillonella_unclassified,s__Corynebacterium_amycolatum,s__Corynebacterium_striatum,s__Alloscardovia_omnicolens,s__Bifidobacterium_longum,s__Brevibacterium_massiliense,s__Fusobacterium_nucleatum,s__Porphyromonas_uenonis,s__Prevotella_bergensis,s__Peptoniphilus_duerdenii,s__Subdoligranulum_unclassified,s__Prevotella_bivia,s__Actinomyces_turicensis,s__Staphylococcus_hominis,s__Propionibacterium_avidum,s__Dialister_micraerophilus,s__Porphyromonas_asaccharolytica,s__Actinobaculum_massiliense,s__Corynebacterium_aurimucosum,s__Porphyromonas_somerae,s__Mobiluncus_curtisii,s__Pseudomonas_unclassified,s__Lactobacillus_gasseri,s__Staphylococcus_haemolyticus,s__Actinomyces_europaeus,s__Propionibacterium_acnes,s__Aerococcus_urinae,s__Anaerococcus_hydrogenalis,s__Anaerococcus_lactolyticus,s__Facklamia_ignava,s__Peptoniphilus_lacrimalis,s__Corynebacterium_pseudogenitalium,s__Escherichia_unclassified,s__Streptococcus_anginosus,s__Campylobacter_ureolyticus,s__Porphyromonas_bennonis,s__Corynebacterium_tuberculostearicum,s__Escherichia_coli,s__Prevotella_buccalis,s__Prevotella_timonensis,s__Propionimicrobium_lymphophilum,s__Anaerococcus_vaginalis,s__Anaerococcus_obesiensis,s__Enterococcus_faecalis,s__Actinobaculum_schaalii,s__Corynebacterium_pyruviciproducens,s__Actinomyces_neuii,s__Facklamia_hominis,s__Staphylococcus_epidermidis,s__Anaerococcus_prevotii,s__Varibaculum_cambriense,s__Peptoniphilus_harei,s__Finegoldia_magna
0,0,0,0,0,957,0,0,3659,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,20574,1314,0,12711,0,0,0,0,0,24772,1783456,18623,0,59408728,0,0,175,0,0,27812,0,0,0,0,870,0,0,248987,50607,0,0,27937,0,0,42963,6906,0,0,2771,0,14838,0,19661,0,5686,31728,42193,0,81,134349,15795,0,0,832,1970,65157,23527,1195,494,1952,54961,0,6387,48993,5355,8595,10566,106356,93576
0,0,0,0,0,0,0,0,0,0,0,2364,0,95,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123220,0,181,1474538,0,133,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6538,0,0,327,0,0,0,0,0,0,329,357,0,0,0,394,0,0,0,0,0,822,0,0,0,0,471,0,0,0,268
0,0,0,0,135060,7620,0,6774,0,0,2812,0,1864,16685,0,19274,0,0,0,0,10967,0,0,44149,6984,0,0,72714,54660,1493,354488,0,265727,0,0,0,0,89267,0,0,9678,0,0,0,0,0,0,0,13599,29201,0,0,0,5690,0,1228,0,0,0,1850,0,0,0,9221,0,0,4222,314542,0,42426,0,0,2431,1963,130094,57774,0,5700,12455,0,30729,1882,9575,0,66281,2134,0,12207,9824,11132,1343545,0,29714,16174,21809,931,46985,13408,22742,80743,5006,3231,101204,86475,24751,59986,209922,166083,239946,1098856
0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146472,0,0,0,0,0,0,0,1578,0,0,0,0,0,0,0,19890976,0,0,0,0,0,0,0,0,15712,82,0,0,12244,0,0,0,0,0,0,0,0,0,0,579,0,0,36,573,0,0,0,1043,0,0,0,14508,0,0,121247,0,0,96,0,44014,0,6614,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617,0,0,8417,0,0,0,0,2006,0,0,0,0,0,0,0,0,0,11461,0,0,0,0,0,0,7233,0,0,0,18153,779752,0,0,10363,0,0,0,0,0,0,29696,860798,0,0,0,52430,0,0,0,0,0,53813,3340,0,3886,5547,74547,4464,1313,4841,14723
28967,0,0,0,0,0,0,0,1622,0,0,0,0,0,0,0,120638,200367,0,15537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35337,0,0,0,0,2895,0,450305,0,0,27706,1532932,0,0,0,0,0,0,0,0,116027,0,0,144584,11534,35832,60432,4680,0,1535446,153283,0,1054,97786,14747,618533,11022,7579,68847,0,0,32126,34426,396,49782,36182,7939,16439,603546,8685,1530,4493347,307471,15031,4701,0,332356,1285022,868942,5902,33463,0,159826,185389,41359,70768,2886,15989,540367,942913,1856085
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,15075101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,672,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,45,0,0,0,1841
0,0,0,0,0,0,0,0,0,0,0,371700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6221102,3668,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,784,0,342,0,0,0,1424
0,0,0,0,0,0,0,717,0,0,0,0,0,0,0,20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22741,0,0,0,34160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25432,0,0,0,0,631,0,0,0,96567,0,0,0,0,5266,24085,0,1660,0,0,1579,12607,40728,4864,0,62559,0,21342,1891,236933,97026,3216,0,127287,344032,4593,66477,0,110342,27922,3129,212178,15685,404831,1266644,17490,13068,18600,160850,887094,17370,675324,69420,51562,205447,427800,933228
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,0,0,0,0,0,0,0,2159,0,0,0,0,0,0,0,0,0,1500,86029,0,0,4474,0,0,49534,0,2509635,0,807,1960,0,0,0,429,2634,2089128,878,2262731,1721650,8412,1639,0,0,409683,116270,1935,563,287802,46296,3936620,880250,1898,0,9862947,41580,156,392947,1753,52796,538428,1788920,222501
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,661,0,0,15141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,90,0,378,0,0,118,0,0,288,0,0,0,0,0,0,0,255,0,0,0,277,0,0,0,0,35657,32325,13266,0,831,682,1214,742,1338,0,0,0,1981,0,940,0,2519,1663,1032,0,0,0,2289,871,74516,923,226671,147768,0,62643,636,74240,20297,520338
1370,0,844,0,13704,0,0,0,0,0,0,1580949,1738,3704,0,0,0,0,0,0,0,0,0,10961,0,0,0,16639,0,0,2229,0,21632,0,0,0,0,18552,0,0,1523,170,0,0,0,0,0,0,1355,0,0,22033009,0,0,0,358,0,0,0,0,0,30605,0,0,0,0,0,19701,0,0,0,0,0,155,0,0,16301,0,0,0,1355,0,25,0,939,1710,2504,0,218,0,0,0,7122,5767,0,1430,0,0,3852,6611,334572,0,11380,250,16849,297077,121925,0,619,296501
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88559,8147,0,1454,0,0,0,0,0,2203,0,0,0,0,0,0,0,0,0,0,19567,0,941,0,0,254472,599,0,356,0,50341976,299,0,0,16651,5764227,0,0,9682078,0,2880,0,0,4804,0,0,585,67182,121,756,2238,292,69292,59327,0,962,64965,1333,0,31656,7926,91574,5539,3928,13187,9445,0,35783,4861,23687,95937,59127,2081,770,208539,23972,25426,727,0,132803,72236,648041,45477,18376,356,129474,51465,58735,100812,371,14285,271729,863936,1316583
0,0,0,0,0,0,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20688,0,0,0,0,0,0,0,0,0,0,0,6521217,10095,1339711,0,0,0,674,0,3075651,10425692,0,0,1482,117547,0,865,0,0,424756,2220,128194,3572,0,0,0,1843,0,145176,0,0,27767,112213,32926,177327,0,570951,61834,16496,0,70516,1632,7160,513566,300,2706445,56967,19974,12286,0,7785582,477494,1004791,53379,424902,327090,310201,1025037,2092222
0,190680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,0,0,0,0,0,0,0,786,0,0,0,0,0,0,12589,861,0,0,0,0,0,15919,0,4312,0,0,283,0,603875,0,3051,94054,0,178,0,0,1568292,194038,55850,69532,18370,0,65562,40713,12254,0,11803,0,1818523,75288,5469,95270,6334,16367,2797571,0,86592,5346,0,251811,5588,45015,11084,3909,0,548392,21164,118311,182018,238887,0,1082591,2794657,679076,59673,275363,2052838,3298079
0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,258,0,0,0,0,1841,0,0,0,0,0,0,0,396,0,0,0,6967381,0,0,0,0,0,0,0,0,0,42,10150,0,0,0,0,0,4134,0,18559,0,354,15326,0,0,0,1221,0,0,1158360,0,833,1272,351,4542,1013,2021,0,0,0,432074,356229,301801,4556,356,1034,15496,25898,87420
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190,0,0,0,0,5209317,0,0,0,0,0,0,0,0,3920,0,0,0,0,85273,0,0,0,0,6142,35626,0,0,0,0,0,6499,0,71185,9201,17584,0,0,481353,70218,1699,0,0,22615,0,0,0,0,0,3310,0,0,0,0,185620,0,0,0,50036,19674,3290,0,0,0,0,6804,0,0,0,10973,6796,7288,817754,1803676,0,463,1067975,55563,0,641989,0,51773,95850,433212,67646,2732791
